Codice,descrizione,scaffale
001213042,dado con spina,P05
021245003,pompa olio,O05
021245040,vite senza fine,V16
028245272,pompa olio x des,A04
050833,molla x tazza,Z03
122211-8,coperchio guida lama,F03
122331-8,porta mandrino,C08
122428-3,impugnatura,P04
122450-0,coperchio guida lama,H09
122B23-1,gruppo ingranaggi,A04
122C95-2,gruppo ingranaggi,A06
122H10-6,gruppo ingranaggi,D07
123442-2,leva inversione,E02
123443-0,gruppo ingranaggi,B01
123502-0,gruppo ingranaggi,A04
123503-8,gruppo ingranaggi,Z09
123504-6,gruppo ingranaggi,F04
123868-9,ingranaggio,E06
123886-6,frizione UC4030,F12
125049-0,gruppo ingranaggi,B01
125050-5,gruppo ingranaggi,A03
125067-8,gruppo ingranaggi,P06
125101-4,gruppo ingranaggi,V05
125102-2,leva cambio,G11
125105-6,gruppo ingranaggi x 6343D,P08
125176-3,gruppo ingranaggi,U01
125182-8,gruppo ingranaggi,N11
125237-9,gruppo ingranaggi,S04
125259-9,gruppo ingranaggi,L12
125310-5,leva cambio,X09
125311-3,gruppo ingranaggi x BHP440,E10
125348-0,gruppo ingranaggi,L11
125366-8,leva,P16
125387-0,gruppo ingranaggi,Q10
125428-2,gruppo ingranaggi x 8414,F11
125431-3,gruppo ingranaggi x 6319,F11
125433-9,gruppo ingranaggi x BDF451,F12
125435-5,leva cambio,F10
125482-6,gruppo ingranaggi,Z08
125483-4,gruppo ingranaggi,X01
125484-2,gruppo ingranaggi,Q15
125485-0,gruppo ingranaggi,Y01
125524-6,scatola ing. C/TA,Y09
125574-1,gruppo ingranaggi,P10
125848-0,gruppo ingranaggi,P16
126148-1,gruppo ingranaggi,Y11
126179-0,gruppo ingranaggi,T10
126180-5,leva cambio,E06
126188-9,gruppo ingranaggi,A06
126233-0,leva,P16
126289-3,leva cambio,E06
126354-8,ingranaggio,E07
126410-4,gruppo ingranaggi,H01
126459-4,ing. x DDF456,Y06
126460-9,gruppo ingranaggi,K03
126961-7,gruppo ingranaggi,A05
127099-1,gruppo ingranaggi,Z09
127125-6,gruppo ingranaggi,A05
127499-5,gruppo ingranaggi,A01
127500-6,gruppo ingranaggi,A08
127511-1,gruppo ingranaggi,A01
127598-3,gruppo ingranaggi,F02
127599-1,gruppo ingranaggi,F02
127C95-2,gruppo ingranaggi,A08
130.426,interruttore,E10
132311-6,incudine x 6905B,G06
134273-4,guida lama,H04
134374-8,cassetta olio,T05
134435-4,albero,A05
134436-2,albero,V06
134564-3,guida lama,O09
134777-6,impugnatura,T05
134946-9,incudine x 6906B,C07
135079-3,scatola ing.,N11
135086-6,frizione,E11
135249-4,carter,H01
135796-5,incudine,I05
140441-9,base,Q10
140T36-8,scatola ingranaggi,H07
140T37-6,scatola ingranaggi,H07
141338-5,albero motore,D05
142112-4,coperchio scatola ing.,V11
142289-5,ammortizzatore,D04
143035-9,scatola cuscinetto,H09
143250-5,testa completa,H07
143935-3,impugnatura,E16
143957-3,carcassa battente,H09
143975-1,interruttore,B08
144960-7,supporto,I04
150067-9,soletta gomma,M05
150272-8,serbatoio,M01
150367-7,tappo grasso,G08
150368-5,tappo grasso,G09
150846-5,piastra di scorrimento,V09
150980-1,piastra,S02
151310-9,cannone,F02
151364-6,guida lama,B01
151561-4,porta punte,V06
151595-7,scatola ing.,E07
151631-9,scatola ing.,R05
151760-8,copri puntale,G15
151781-0,base x BO3700,V09
152103-7,rullo,V05
152145-1,flangia,U08
152198-0,carter laterale,D01
152229-5,scatola cuscinetto,E01
152338-0,cilindro,N02
152362-3,supporto lat.,P08
152368-1,supporto motore,N12
152470-0,supporto anello,R07
152478-4,base x BO4561,P01
152483-1,copri guida lama,A07
152529-3,camma x HP1500,L08
152547-5,guida lama,E09
152559-4,leva cambio,Q07
152582-9,supporto spazzole,R08
152585-3,rullo,P11
152601-1,guida lama,V03
152615-0,leva completa,Q06
152927-1,guida lama,K01
152947-5,guida lama completa,Q05
153126-8,ingranaggio,F05
153155-1,ingranaggio,T03
153189-4,albero,L07
153205-2,perno con ingranaggio,M05
153220-6,albero x 6791,M01
153228-0,ingranaggio,S06
153230-3,albero completo,P03
153234-5,ingranaggio,P09
153246-8,ingranaggio,S09
153289-0,leva cambio,G15
153334-1,guida lama,U02
153335-9,ingranaggio,N13
153336-7,eccentrico,N13
153389-6,scatola ing.,S09
153488-4,carcassa ing.,K09
153622-6,ingranaggio x HP2071,N11
153624-2,coperchio,K01
153626-8,ingranaggio,I02
153808-2,carcassa battente,G11
154545-1,eccentrico,E07
154546-9,eccentrico x JR3070,Y03
154549-3,limit. di coppia,T12
154590-6,carcassa,E07
154769-9,supporto cuscinetto,Y01
154870-0,tappo olio,V11
155251-1,pompa olio,F07
